WindCodes,UNDERLYINGWINDCODE,US_NAME,EXE_MODE,EXE_TYPE,EXE_PRICE,EXE_ENDDATE
10003575.SH,510050.SH,上证50ETF,认购,欧式,2.85,2021/9/22
10003513.SH,510050.SH,上证50ETF,认购,欧式,2.9,2021/9/22
10003505.SH,510050.SH,上证50ETF,认购,欧式,2.95,2021/9/22
10003371.SH,510050.SH,上证50ETF,认购,欧式,3,2021/9/22
10003317.SH,510050.SH,上证50ETF,认购,欧式,3.1,2021/9/22
10003305.SH,510050.SH,上证50ETF,认购,欧式,3.2,2021/9/22
10003241.SH,510050.SH,上证50ETF,认购,欧式,3.3,2021/9/22
10003205.SH,510050.SH,上证50ETF,认购,欧式,3.4,2021/9/22
10003206.SH,510050.SH,上证50ETF,认购,欧式,3.5,2021/9/22
10003207.SH,510050.SH,上证50ETF,认购,欧式,3.6,2021/9/22
10003208.SH,510050.SH,上证50ETF,认购,欧式,3.7,2021/9/22
10003209.SH,510050.SH,上证50ETF,认购,欧式,3.8,2021/9/22
10003210.SH,510050.SH,上证50ETF,认购,欧式,3.9,2021/9/22
10003211.SH,510050.SH,上证50ETF,认购,欧式,4,2021/9/22
10003212.SH,510050.SH,上证50ETF,认购,欧式,4.1,2021/9/22
10003213.SH,510050.SH,上证50ETF,认购,欧式,4.2,2021/9/22
10003251.SH,510050.SH,上证50ETF,认购,欧式,4.3,2021/9/22
10003261.SH,510050.SH,上证50ETF,认购,欧式,4.4,2021/9/22
